Goals,Assists,Shots on Target,Yellow Card,Result
0,0,0,0,L
0,0,0,0,L
0,0,0,0,L
1,0,1,0,L
1,0,0,0,W
1,0,1,0,W
0,0,0,0,W
1,0,1,0,W
0,0,0,0,L
0,0,0,0,L
0,0,0,0,L
0,0,0,0,L
0,0,0,1,L
0,0,0,0,L
0,0,0,0,W
0,0,0,0,L
0,0,0,0,L
0,0,0,0,W
0,0,0,0,W
0,0,0,0,L
0,0,0,0,L
0,0,0,0,W
0,0,0,0,L
0,0,0,0,W
0,0,0,0,L
0,0,0,0,W
1,0,1,0,W
1,0,1,0,W
0,0,0,0,
1,0,0,0,
0,0,0,0,L
0,0,0,0,L
0,0,0,0,L
2,0,2,0,W
1,0,1,0,W
0,0,0,0,L
0,0,0,0,L
0,0,0,0,L
0,0,0,1,L
0,0,0,0,W
0,0,0,0,W
0,0,0,0,W
0,0,0,0,W
0,0,0,0,L
1,0,1,0,W
0,0,0,0,W
0,0,0,0,W
0,0,0,0,W
0,0,0,0,L
0,0,0,0,L
0,0,0,,L
0,0,0,0,L
0,0,0,0,L
0,0,0,0,W
1,0,1,0,W
1,0,1,0,W
0,0,0,0,W
0,0,0,0,L
